Franchise_id,Season,Lg,Team_id,W,L,WL_percentage,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs
ATL,1967,NBA,STL,56,26,.683,1,2.37,113.7,-6.1,98.4,1.6,96.0,-0.8,Lost W. Div. Semis,
ATL,1966,NBA,STL,39,42,.481,2,-1.44,117.7,-3.9,96.1,0.0,97.4,1.3,Lost W. Div. Finals,
ATL,1965,NBA,STL,36,44,.450,3,-0.50,116.6,-4.8,95.6,0.7,96.1,1.2,Lost W. Div. Finals,
ATL,1964,NBA,STL,45,35,.563,2,2.68,115.1,-2.2,94.5,0.9,91.8,-1.8,Lost W. Div. Semis,
ATL,1963,NBA,STL,46,34,.575,2,1.39,114.6,1.4,95.4,0.8,94.0,-0.6,Lost W. Div. Finals,
ATL,1962,NBA,STL,48,32,.600,2,1.38,115.6,0.6,94.8,-1.1,93.3,-2.6,Lost W. Div. Finals,
ATL,1961,NBA,STL,29,51,.363,4,-2.96,124.6,3.3,95.2,1.6,97.8,4.2,,
ATL,1960,NBA,STL,51,28,.646,1,2.99,129.1,5.6,91.4,-0.7,88.7,-3.4,Lost Finals,
ATL,1959,NBA,STL,46,29,.613,1,1.77,120.0,-2.3,94.0,2.9,91.8,0.7,Lost Finals,
ATL,1958,NBA,STL,49,23,.681,1,2.89,115.6,3.6,93.3,3.1,90.1,-0.1,Lost W. Div. Finals,
ATL,1957,NBA,STL,41,31,.569,1,0.82,119.5,2.5,89.7,0.9,88.6,-0.2,Won Finals,
ATL,1956,NBA,STL,34,38,.472,1,-0.27,108.3,3.4,89.0,0.1,89.1,0.2,Lost Finals,
ATL,1955,NBA,STL,33,39,.458,3,-1.42,109.4,6.6,87.6,-2.7,88.9,-1.4,Lost W. Div. Finals,
ATL,1954,NBA,MLH,26,46,.361,4,-2.66,100.5,2.4,86.4,-3.4,89.4,-0.4,,
ATL,1953,NBA,MLH,21,51,.292,4,-4.55,84.2,0.6,82.9,-4.6,89.2,1.7,,
ATL,1952,NBA,MLH,27,44,.380,5,-2.49,88.6,8.1,84.0,-4.0,85.7,-2.0,,
ATL,1951,NBA,MLH,17,49,.258,5,-7.04,90.7,4.9,80.4,-6.5,89.1,2.2,,
ATL,1950,NBA,TRI,25,43,.368,5,-3.22,103.9,18.4,80.8,-4.3,84.4,-0.7,,
ATL,1949,NBA,TRI,29,35,.453,3,-1.43,,,,,,,Lost W. Div. Semis,
BOS,2014,NBA,BOS,19,30,.388,3,-2.10,96.1,2.3,104.3,-1.5,105.8,0.0,,
BOS,2013,NBA,BOS,25,57,.305,4,-4.97,93.3,-0.6,102.9,-3.8,107.7,1.0,,
BOS,2012,NBA,BOS,41,40,.506,3,-0.62,91.7,-0.3,103.1,-2.8,103.3,-2.6,Lost E. Conf. 1st Rnd.,
BOS,2011,NBA,BOS,39,27,.591,1,2.26,90.4,-0.9,101.0,-3.6,98.2,-6.4,Lost E. Conf. Finals,
BOS,2010,NBA,BOS,56,26,.683,1,4.83,90.4,-1.7,106.2,-1.1,100.3,-7.0,Lost E. Conf. Semis,
BOS,2009,NBA,BOS,50,32,.610,1,3.37,91.6,-1.1,107.7,0.1,103.8,-3.8,Lost Finals,
BOS,2008,NBA,BOS,62,20,.756,1,7.44,90.4,-1.3,110.5,2.2,102.3,-6.0,Lost E. Conf. Semis,
BOS,2007,NBA,BOS,66,16,.805,1,9.30,90.9,-1.5,110.2,2.7,98.9,-8.6,Won Finals,
BOS,2006,NBA,BOS,24,58,.293,5,-3.70,92.0,0.1,103.2,-3.3,106.9,0.4,,
