PlayerID,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
wwillier01,2004,32,NJN,NBA,SG,21,21,35.2,4.1,8.8,.470,0.8,1.9,.425,3.3,6.9,.483,3.5,5.1,.685,1.3,3.2,4.5,2.0,0.8,0.1,1.6,3.8,12.6
wwillier01,2004,32,TOR,NBA,SG,34,18,17.1,1.6,4.3,.379,0.3,1.0,.333,1.3,3.3,.393,1.1,1.6,.717,0.5,1.8,2.3,1.5,0.6,0.1,0.8,2.0,4.7
wwillier01,2005,33,TOR,NBA,SF,28,11,12.6,1.0,2.7,.387,0.2,0.6,.278,0.9,2.0,.421,1.0,1.4,.737,0.4,1.4,1.8,0.5,0.3,0.1,0.5,2.0,3.3
wwillier01,2006,34,TOT,NBA,SF,21,0,5.8,0.9,2.2,.404,0.4,0.9,.421,0.5,1.3,.393,0.4,0.7,.571,0.1,0.7,0.8,0.3,0.1,0.0,0.3,0.6,2.6
wwillier01,2006,34,SAS,NBA,SF,16,0,5.5,0.9,2.1,.441,0.5,1.1,.471,0.4,1.1,.412,0.3,0.4,.571,0.1,0.8,0.9,0.4,0.1,0.0,0.3,0.4,2.6
wwillier01,2006,34,CHA,NBA,SF,5,0,6.6,0.8,2.6,.308,0.0,0.4,.000,0.8,2.2,.364,0.8,1.4,.571,0.4,0.2,0.6,0.2,0.2,0.0,0.4,1.2,2.4
wwillifl01,1974,21,SSL,ABA,SG,71,,17.5,4.2,9.1,.462,0.0,0.2,.143,4.2,8.9,.469,1.0,1.4,.683,1.0,1.5,2.5,2.0,0.9,0.1,2.5,2.2,9.4
wwillifr02,2002,22,NYK,NBA,PG,21,0,8.0,0.4,1.6,.273,0.3,0.8,.375,0.1,0.8,.176,0.2,0.3,.667,0.1,0.7,0.9,1.6,0.3,0.1,0.8,1.0,1.3
wwillifr02,2003,23,NYK,NBA,PG,56,3,12.8,1.4,3.7,.385,0.3,1.1,.300,1.1,2.6,.419,0.7,0.9,.854,0.1,0.8,0.9,2.2,0.4,0.1,1.1,1.0,3.9
wwillifr02,2004,24,CHI,NBA,SG,9,0,7.9,0.3,2.2,.150,0.0,0.4,.000,0.3,1.8,.188,0.0,0.0,,0.2,0.4,0.7,1.2,0.2,0.3,0.3,1.0,0.7
wwillifr01,1978,22,SDC,NBA,SG,72,,16.6,4.7,9.5,.490,,,,4.7,9.5,.490,1.1,1.4,.776,0.7,0.7,1.4,1.2,0.6,0.0,1.4,1.2,10.4
wwillifr01,1979,23,SDC,NBA,SG,82,,25.8,7.9,16.4,.480,0.5,1.6,.328,7.4,14.8,.496,2.4,2.9,.815,1.3,1.1,2.3,2.0,0.9,0.1,2.1,1.8,18.6
wwillifr01,1980,24,SDC,NBA,SG,82,,24.1,7.8,16.8,.465,0.6,1.7,.340,7.2,15.1,.479,3.1,3.6,.852,0.9,0.7,1.6,2.0,1.1,0.1,2.0,1.9,19.3
wwillifr01,1981,25,TOT,NBA,SG,60,10,16.6,4.6,10.4,.443,0.5,1.6,.298,4.1,8.8,.469,2.3,2.8,.843,0.4,0.7,1.0,1.4,0.5,0.0,1.8,1.7,12.0
wwillifr01,1981,25,SDC,NBA,SG,37,10,21.8,6.3,13.9,.456,0.6,2.0,.324,5.7,11.9,.478,3.2,3.8,.843,0.6,0.8,1.4,1.8,0.6,0.0,2.4,2.3,16.5
wwillifr01,1981,25,ATL,NBA,SG,23,0,8.2,1.8,4.8,.382,0.2,0.9,.200,1.7,3.9,.422,1.0,1.1,.846,0.1,0.4,0.5,0.8,0.3,0.0,0.8,0.8,4.8
wwillifr01,1982,26,UTA,NBA,SG,18,3,11.7,2.0,5.6,.356,0.1,0.4,.286,1.9,5.2,.362,1.0,1.4,.720,0.2,0.8,0.9,0.6,0.3,0.1,0.7,1.7,5.1
wwillifr01,1985,29,WSB,NBA,SG,9,0,12.2,2.8,7.4,.373,0.8,1.6,.500,2.0,5.9,.340,1.3,1.9,.706,0.4,0.9,1.3,0.8,0.8,0.1,1.4,1.1,7.7
wwillige01,1969,22,KEN,ABA,,1,,8.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0
wwilligu01,1975,22,GSW,NBA,PG,77,,22.4,4.7,11.1,.428,,,,4.7,11.1,.428,2.2,3.0,.742,0.8,1.3,2.1,3.1,1.8,0.3,,1.9,11.7
wwilligu01,1976,23,GSW,NBA,PG,82,,23.5,4.0,8.5,.464,,,,4.0,8.5,.464,1.4,1.8,.747,0.9,2.0,2.8,3.6,1.5,0.2,,2.7,9.3
wwilligu01,1977,24,SEA,NBA,PG,79,,32.6,7.6,16.9,.451,,,,7.6,16.9,.451,2.9,3.5,.817,1.1,2.2,3.2,3.7,2.3,0.5,2.4,2.5,18.1
wwilligu01,1978,25,SEA,NBA,PG,76,,29.8,8.0,16.1,.495,,,,8.0,16.1,.495,3.2,4.2,.775,1.5,1.8,3.2,4.0,2.1,0.4,2.5,2.1,19.2
wwilligu01,1979,26,SEA,NBA,PG,82,,36.2,9.0,18.7,.482,0.1,0.4,.194,8.9,18.3,.489,4.0,5.1,.788,1.5,1.8,3.4,4.8,2.4,0.5,2.2,2.0,22.1
wwilligu01,1981,28,SEA,NBA,PG,80,80,36.0,9.7,19.9,.486,0.1,0.5,.225,9.6,19.4,.492,4.0,5.5,.734,1.2,1.9,3.1,6.9,2.2,0.5,2.5,2.0,23.4
wwilligu01,1982,29,SEA,NBA,PG,80,80,34.5,8.3,17.3,.477,0.0,0.5,.047,8.2,16.8,.491,3.5,4.6,.751,0.9,1.7,2.6,8.0,2.3,0.3,2.9,1.5,20.0
