Team_id,Season,No,Player,Pos,Experience
CHA,2010,41,templga01,PG,1,
CHA,2010,12,thomaty01,C,4,
CHA,2010,3,wallage01,SF,9,
CHA,2010,8,whitedj01,C,2,
CHA,2009,21,ajincal01,C,1,
CHA,2009,14,augusdj01,PG,1,
CHA,2009,19,bellra01,SG,9,
CHA,2009,4,brownde04,SF,0,
CHA,2009,6,chandty01,C,8,
CHA,2009,32,diawbo01,PF,6,
CHA,2009,7,diopde01,C,8,
CHA,2009,20,feltora01,PG,4,
CHA,2009,23,grahast01,SG,4,
CHA,2009,15,hendege02,SG,0,
CHA,2009,0,hughela01,SG,11,
CHA,2009,1,jacksst02,SG,9,
CHA,2009,2,lawac01,PG,2,
CHA,2009,13,mohamna01,C,11,
CHA,2009,22,murraro01,SG,7,
CHA,2009,10,radmavl01,PF,8,
CHA,2009,42,ratlith01,C,14,
CHA,2009,12,thomaty01,C,3,
CHA,2009,3,wallage01,SF,8,
CHA,2008,21,ajincal01,PF,0,
CHA,2008,14,augusdj01,PG,0,
CHA,2008,19,bellra01,SG,8,
CHA,2008,1,brownan01,PF,2,
CHA,2008,12,brownsh01,SG,2,
CHA,2008,13,carroma01,SG,5,
CHA,2008,32,diawbo01,PF,5,
CHA,2008,7,diopde01,C,7,
CHA,2008,4,dudleja01,SF,1,
CHA,2008,20,feltora01,PG,3,
CHA,2008,15,holliry01,C,2,
CHA,2008,5,howarju01,SF,14,
CHA,2008,2,jeffedo01,SG,0,
CHA,2008,43,johnsli01,PF,5,
CHA,2008,27,jonesdw02,PF,3,
CHA,2008,1,martica01,SF,0,
CHA,2008,42,mayse01,PF,2,
CHA,2008,6,mohamna01,C,10,
CHA,2008,35,morriad01,SF,1,
CHA,2008,50,okafoem01,C,4,
CHA,2008,10,radmavl01,SF,7,
CHA,2008,23,richaja01,SG,7,
CHA,2008,44,singlse01,PG,0,
CHA,2008,3,wallage01,SF,7,
CHA,2007,1,anderde01,SG,10,
CHA,2007,11,boykiea01,PG,9,
CHA,2007,7,brezepr01,C,6,
CHA,2007,13,carroma01,SG,4,
CHA,2007,33,davidje01,SF,0,
CHA,2007,4,dudleja01,PF,0,
CHA,2007,20,feltora01,PG,2,
CHA,2007,24,harriot01,C,11,
CHA,2007,5,herrmwa01,PF,1,
CHA,2007,15,holliry01,PF,1,
CHA,2007,0,mcinnje01,PG,10,
CHA,2007,6,mohamna01,C,9,
CHA,2007,50,okafoem01,C,3,
CHA,2007,23,richaja01,SF,6,
CHA,2007,3,wallage01,PF,6,
CHA,2006,15,anderal01,SG,1,
CHA,2006,23,anderde01,SF,9,
CHA,2006,7,brezepr01,C,5,
CHA,2006,13,carroma01,SG,3,
CHA,2006,2,elyme01,PF,4,
CHA,2006,20,feltora01,PG,1,
CHA,2006,24,harriot01,PF,10,
CHA,2006,5,herrmwa01,PF,0,
CHA,2006,1,holliry01,C,0,
CHA,2006,22,knighbr01,PG,9,
CHA,2006,42,mayse01,PF,1,
CHA,2006,0,mcinnje01,PG,9,
CHA,2006,35,morriad01,PF,0,
CHA,2006,50,okafoem01,C,2,
CHA,2006,21,robinbe01,SG,2,
CHA,2006,43,voskuja01,C,6,
CHA,2006,3,wallage01,SF,5,
CHA,2006,55,willier01,SF,11,
CHA,2005,15,anderal01,SF,0,
CHA,2005,35,baxtelo01,PF,3,
CHA,2005,10,boganke01,SG,2,
CHA,2005,7,brezepr01,C,4,
CHA,2005,12,burleke01,PG,0,
CHA,2005,13,carroma01,SG,2,
CHA,2005,2,elyme01,PF,3,
CHA,2005,20,feltora01,PG,0,
CHA,2005,33,jonesju01,PF,6,
CHA,2005,22,knighbr01,PG,8,
CHA,2005,42,mayse01,PF,0,
CHA,2005,50,okafoem01,PF,1,
CHA,2005,21,robinbe01,SF,1,
CHA,2005,4,rushka01,SG,3,
CHA,2005,43,voskuja01,C,5,
CHA,2005,3,wallage01,SF,4,
CHA,2004,12,alexaco01,SG,6,
CHA,2004,35,allenma01,PF,3,
CHA,2004,10,boganke01,SG,1,
CHA,2004,7,brezepr01,C,3,
CHA,2004,13,carroma01,SG,1,
CHA,2004,2,elyme01,PF,2,
CHA,2004,1,hartja01,PG,3,
CHA,2004,5,houseed01,SG,4,
CHA,2004,24,kaponja01,SF,1,
CHA,2004,22,knighbr01,PG,7,
CHA,2004,50,okafoem01,PF,0,
CHA,2004,21,robinbe01,SG,0,
CHA,2004,4,rushka01,SG,2,
CHA,2004,31,sampsja01,PF,2,
CHA,2004,32,slayta01,SG,2,
CHA,2004,8,smithst01,SG,13,
CHA,2004,0,smithth01,SF,1,
CHA,2004,3,wallage01,SF,3,
CHA,2004,55,whiteja01,C,6,
CHH,2001,2,augmost01,SG,10,
CHH,2001,42,brownpj01,C,8,
CHH,2001,50,bullama01,PF,10,
CHH,2001,5,campbel01,PF,11,
CHH,2001,1,davisba01,PG,2,
CHH,2001,17,drewbr01,PG,3,
CHH,2001,35,hastoki01,PF,0,
CHH,2001,9,lynchge01,SF,8,
CHH,2001,21,magloja01,C,1,
CHH,2001,24,mashbja01,SF,8,
CHH,2001,6,moisoje01,C,1,
CHH,2001,54,nailole01,SF,1,
CHH,2001,3,recasel01,SG,7,
CHH,2001,34,traylro01,PF,3,
CHH,2001,4,wesleda01,SG,8,
CHH,2000,42,brownpj01,C,7,
CHH,2000,2,burresc01,SF,7,
CHH,2000,5,campbel01,PF,10,
CHH,2000,44,colemde01,PF,10,
CHH,2000,1,davisba01,PG,1,
CHH,2000,33,hawkihe01,SG,12,
CHH,2000,25,jamesti01,SF,1,
CHH,2000,21,magloja01,C,0,
CHH,2000,24,mashbja01,SF,7,
CHH,2000,54,nailole01,SF,0,
CHH,2000,9,overtdo01,PG,8,
CHH,2000,3,recasel01,PG,6,
CHH,2000,8,roberte01,SF,0,
CHH,2000,32,robined01,SF,1,
CHH,2000,52,thorpot01,PF,16,
CHH,2000,4,wesleda01,SG,7,
CHH,1999,52,brownch01,PF,10,
CHH,1999,5,campbel01,C,9,
CHH,1999,44,colemde01,PF,9,
CHH,1999,1,davisba01,PG,0,
CHH,1999,21,davisri01,SG,1,
CHH,1999,2,ellisda01,SG,16,
CHH,1999,52,fulleto02,C,3,
CHH,1999,7,hawkimi01,PG,2,
CHH,1999,55,hoodde01,PF,0,
CHH,1999,6,jonesed02,SG,5,
CHH,1999,14,masonan01,SF,9,
CHH,1999,40,millebr01,C,1,
CHH,1999,11,miskija01,PG,0,
CHH,1999,13,phillbo01,SG,8,
CHH,1999,3,recasel01,PG,5,
CHH,1999,32,robined01,SF,0,
CHH,1999,4,wesleda01,PG,6,
CHH,1998,10,armstbj01,PG,9,
CHH,1998,15,beckco01,PG,2,
CHH,1998,52,brownch01,PF,9,
CHH,1998,9,burtowi01,SF,7,
CHH,1998,41,campbel01,C,8,
CHH,1998,44,colemde01,PF,8,
CHH,1998,21,davisri01,SG,0,
CHH,1998,6,jonesed02,SF,4,
CHH,1998,40,millebr01,C,0,
CHH,1998,45,persoch01,SF,11,
CHH,1998,13,phillbo01,SG,7,
CHH,1998,3,recasel01,PG,4,
CHH,1998,7,reidjr01,PF,8,
CHH,1998,33,shackch01,C,5,
CHH,1998,4,wesleda01,PG,5,
CHH,1998,32,willitr01,SF,1,
CHH,1998,30,wolfjo01,PF,10,
CHH,1997,10,armstbj01,PG,8,
CHH,1997,15,beckco01,PG,1,
CHH,1997,1,boguemu01,PG,10,
CHH,1997,30,curryde01,SG,11,
CHH,1997,00,delkto01,PG,1,
CHH,1997,12,divacvl01,C,8,
CHH,1997,8,farmeto01,C,0,
CHH,1997,52,geigema01,C,5,
CHH,1997,20,grayeje01,SG,8,
CHH,1997,14,masonan01,PF,8,
CHH,1997,11,maxweve01,SG,9,
CHH,1997,42,mcdonmi01,C,0,
CHH,1997,13,phillbo01,SG,6,
CHH,1997,7,reidjr01,PF,7,
CHH,1997,41,ricegl01,SF,8,
CHH,1997,5,royaldo01,SF,7,
CHH,1997,4,wesleda01,PG,4,
CHH,1997,32,willitr01,SF,0,
CHH,1996,7,addisra01,SF,5,
CHH,1996,1,boguemu01,PG,9,
CHH,1996,24,burresc01,SF,3,
CHH,1996,22,chambto01,PF,14,
CHH,1996,30,curryde01,SG,10,
CHH,1996,00,delkto01,PG,0,
CHH,1996,12,divacvl01,C,7,
CHH,1996,50,feickja01,C,0,
CHH,1996,52,geigema01,C,4,
CHH,1996,5,goldwan01,PG,1,
CHH,1996,,leckner01,C,7,
CHH,1996,14,masonan01,PF,7,
CHH,1996,21,piercri01,SG,14,
CHH,1996,41,ricegl01,SF,7,
CHH,1996,31,rosema01,PF,0,
CHH,1996,5,royaldo01,SF,6,
CHH,1996,,smithto02,PG,6,
CHH,1996,25,zidekge01,C,1,
CHH,1995,23,adamsmi01,PG,10,
CHH,1995,7,addisra01,SF,4,
CHH,1995,12,anderke01,PG,4,
CHH,1995,14,beckco01,PG,0,
CHH,1995,1,boguemu01,PG,8,
CHH,1995,24,burresc01,SF,2,
CHH,1995,30,curryde01,SG,9,
CHH,1995,52,geigema01,C,3,
CHH,1995,13,gillke01,SG,5,
CHH,1995,35,glassge01,SF,3,
CHH,1995,5,goldwan01,PG,0,
CHH,1995,4,hancoda01,SF,1,
CHH,1995,,hodgedo01,C,4,
CHH,1995,2,johnsla02,PF,4,
CHH,1995,20,myerspe01,SG,7,
CHH,1995,00,parisro01,C,19,
CHH,1995,3,reevekh01,PG,1,
CHH,1995,41,ricegl01,SF,6,
CHH,1995,12,suttogr01,PG,2,
CHH,1995,43,wolfjo01,PF,7,
CHH,1995,25,zidekge01,C,0,
CHH,1994,23,adamsmi01,PG,9,
CHH,1994,25,benneto01,PG,2,
CHH,1994,7,blackja01,PG,0,
CHH,1994,1,boguemu01,PG,7,
CHH,1994,24,burresc01,SF,1,
CHH,1994,30,curryde01,SG,8,
CHH,1994,44,gattike01,PF,7,
CHH,1994,4,hancoda01,SF,0,
CHH,1994,3,hawkihe01,SG,6,
CHH,1994,2,johnsla02,PF,3,
CHH,1994,33,mournal01,C,2,
CHH,1994,00,parisro01,C,18,
CHH,1994,12,suttogr01,PG,1,
CHH,1994,39,tolbeto01,PF,6,
CHH,1994,11,wingada01,SG,8,
CHH,1994,43,wolfjo01,PF,6,
CHH,1993,25,benneto01,PG,1,
CHH,1993,1,boguemu01,PG,6,
CHH,1993,40,brickfr01,C,9,
CHH,1993,24,burresc01,SF,0,
CHH,1993,7,conloma01,C,2,
CHH,1993,30,curryde01,SG,7,
CHH,1993,43,ellisle02,C,1,
CHH,1993,44,gattike01,PF,6,
CHH,1993,42,gminsmi01,C,13,
CHH,1993,3,hawkihe01,SG,5,
CHH,1993,12,hensost01,PG,3,
CHH,1993,8,johnsed03,SF,12,
CHH,1993,2,johnsla02,PF,2,
CHH,1993,41,kemptti01,PF,4,
CHH,1993,33,mournal01,C,1,
CHH,1993,22,newmajo01,SF,7,
CHH,1993,20,robinru01,PG,3,
CHH,1993,40,willilo01,PF,1,
CHH,1993,11,wingada01,SG,7,
CHH,1992,25,benneto01,PG,0,
CHH,1992,1,boguemu01,PG,5,
CHH,1992,30,curryde01,SG,6,
CHH,1992,44,gattike01,PF,5,
CHH,1992,13,gillke01,SG,2,
CHH,1992,42,gminsmi01,C,12,
CHH,1992,21,greensi02,PF,9,
CHH,1992,20,hammoto01,PF,3,
CHH,1992,2,johnsla02,PF,1,
CHH,1992,9,lynchke01,SG,1,
CHH,1992,33,mournal01,C,0,
CHH,1992,22,newmajo01,SF,6,
CHH,1992,34,reidjr01,PF,3,
CHH,1992,40,willilo01,C,0,
CHH,1992,55,wingada01,SF,6,
CHH,1991,54,anslemi01,SF,2,
CHH,1991,1,boguemu01,PG,4,
CHH,1991,3,chapmre01,PG,3,
CHH,1991,30,curryde01,SG,5,
CHH,1991,24,fredean01,SF,2,
CHH,1991,33,gattike01,PF,4,
CHH,1991,13,gillke01,SG,1,
CHH,1991,42,gminsmi01,C,11,
CHH,1991,31,grandro01,PF,1,
CHH,1991,5,grantgr01,PG,2,
CHH,1991,15,huntece01,PG,0,
CHH,1991,2,johnsla02,PF,0,
CHH,1991,45,leckner01,C,3,
CHH,1991,9,lynchke01,SG,0,
CHH,1991,32,masseto01,PF,1,
CHH,1991,22,newmajo01,SF,5,
CHH,1991,21,perryel01,PG,0,
CHH,1991,34,reidjr01,C,2,
CHH,1990,1,boguemu01,PG,3,
CHH,1990,3,chapmre01,PG,2,
CHH,1990,25,curetea01,PF,9,
CHH,1990,30,curryde01,SG,4,
CHH,1990,33,gattike01,PF,3,
CHH,1990,13,gillke01,SG,0,
CHH,1990,45,gilliar01,PF,3,
CHH,1990,42,gminsmi01,C,10,
CHH,1990,4,haffnsc01,PG,1,
CHH,1990,42,hoppeda01,C,3,
CHH,1990,31,keysra01,SF,2,
CHH,1990,45,leckner01,C,2,
CHH,1990,22,newmajo01,SF,4,
CHH,1990,34,reidjr01,C,1,
CHH,1990,20,sandeje01,PF,1,
CHH,1990,55,schefst01,C,0,
CHH,1990,7,tripuke01,SF,9,
CHH,1989,35,anderri01,PF,5,
CHH,1989,1,boguemu01,PG,2,
CHH,1989,3,chapmre01,SG,1,
CHH,1989,30,curryde01,SG,3,
CHH,1989,23,doziete01,SF,0,
CHH,1989,33,gattike01,PF,2,
CHH,1989,45,gilliar01,PF,2,
CHH,1989,55,grayst01,C,5,
CHH,1989,6,holtomi01,PG,5,
CHH,1989,42,hoppeda01,C,2,
CHH,1989,31,keysra01,SF,1,
CHH,1989,11,lewisra01,SG,2,
CHH,1989,31,rambiku01,PF,8,
CHH,1989,34,reidjr01,C,0,
CHH,1989,50,reidro01,SF,11,
CHH,1989,32,rowsobr01,PF,2,
CHH,1989,12,sichtje01,PG,9,
CHH,1989,7,tripuke01,SF,8,
CHH,1989,10,turnean01,PG,3,
CHH,1989,24,willimi02,PG,1,
CHH,1988,1,boguemu01,PG,1,
CHH,1988,3,chapmre01,SG,0,
CHH,1988,25,curetea01,C,8,
CHH,1988,30,curryde01,SG,2,
CHH,1988,14,greenri01,PG,10,
CHH,1988,6,holtomi01,PG,4,
CHH,1988,42,hoppeda01,C,1,
CHH,1988,41,kemptti01,PF,1,
CHH,1988,32,kitegr01,C,5,
CHH,1988,22,lewisra01,SG,1,
CHH,1988,35,lowesi01,SG,2,
CHH,1988,31,rambiku01,PF,7,
CHH,1988,50,reidro01,SF,10,
CHH,1988,32,rowsobr01,PF,1,
CHH,1988,23,tolbeto01,SF,0,
CHH,1988,7,tripuke01,SF,7,
CHI,2014,1,rosede01,PG,5,
CHI,2014,13,noahjo01,C,7,
CHI,2014,22,gibsota01,PF,5,
CHI,2014,12,hinriki01,SG,11,
CHI,2014,21,butleji01,SG,3,
CHI,2014,20,snellto01,SF,1,
CHI,2014,44,mirotni01,PF,0,
CHI,2014,55,mooreet01,SG,3,
CHI,2014,0,brookaa01,PG,6,
CHI,2014,34,dunlemi02,SF,12,
CHI,2014,3,mcderdo01,SF,0,
CHI,2014,16,gasolpa01,PF,13,
CHI,2014,41,bairsca01,PF,0,
CHI,2014,48,mohamna01,C,16,
CHI,2013,17,amundlo01,PF,7,
CHI,2013,14,augusdj01,PG,5,
CHI,2013,5,boozeca01,PF,11,
CHI,2013,11,brewero02,G-F,7,
CHI,2013,21,butleji01,SG,2,
CHI,2013,9,denglu01,SF,9,
CHI,2013,34,dunlemi02,SF,11,
CHI,2013,32,fredeji01,SG,2,
CHI,2013,22,gibsota01,PF,4,
CHI,2013,12,hinriki01,PG,10,
CHI,2013,8,jamesmi01,PG,11,
CHI,2013,15,martica01,SF,5,
CHI,2013,48,mohamna01,C,15,
CHI,2013,31,murpher01,C,0,
CHI,2013,13,noahjo01,C,6,
CHI,2013,1,rosede01,PG,4,
CHI,2013,7,shengto01,SF,1,
CHI,2013,20,snellto01,SG,0,
CHI,2013,25,teaguma01,SG,1,
CHI,2013,32,varnaja01,PF,1,
CHI,2012,17,amundlo01,PF,6,
CHI,2012,8,belinma01,SG,5,
CHI,2012,5,boozeca01,PF,10,
CHI,2012,21,butleji01,SF,1,
CHI,2012,14,cookda02,SG,5,
CHI,2012,9,denglu01,SF,8,
CHI,2012,22,gibsota01,PF,3,
CHI,2012,32,hamilri01,SG,13,
CHI,2012,12,hinriki01,PG,9,
CHI,2012,48,mohamna01,C,14,
CHI,2012,13,noahjo01,C,5,
CHI,2012,77,radmavl01,PF,11,
CHI,2012,2,robinna01,PG,7,
