PlayerID,Season,Team,Lg,Salary
aalexaco01,2001,Denver Nuggets,NBA,1995741
aalexaco01,2002,Denver Nuggets,NBA,2149259
aalexaco01,2003,Denver Nuggets,NBA,2302778
aalexaco02,2000,Dallas Mavericks,NBA,1319400
aalexaco02,2001,Washington Wizards,NBA,1418400
aalexaco02,2002,New Orleans Hornets,NBA,1517280
aalexaco02,2003,New Orleans Hornets,NBA,2168193
aalexaco02,2004,Sacramento Kings,NBA,79029
aalexaga01,1994,Cleveland Cavaliers,NBA,150000
aalexajo01,2008,Milwaukee Bucks,NBA,2403120
aalexajo01,2009,Chicago Bulls,NBA,2583360
aalexajo01,2010,New Orleans Hornets,NBA,90465
aalexavi01,1991,Golden State Warriors,NBA,750000
aalexavi01,1992,Golden State Warriors,NBA,942000
aalexavi01,1993,Golden State Warriors,NBA,1160000
aalexavi01,1994,Golden State Warriors,NBA,1377500
aalexavi01,1995,Toronto Raptors,NBA,1595000
aalexavi01,2001,Detroit Pistons,NBA,653350
aalforst01,1987,Dallas Mavericks,NBA,100000
aalforst01,1988,Golden State Warriors,NBA,150000
aalforst01,1990,Dallas Mavericks,NBA,250000
aallenje01,1995,Minnesota Timberwolves,NBA,200000
aallenje01,1996,Indiana Pacers,NBA,247500
aallenje01,1997,Cleveland Cavaliers,NBA,35000
aallenje01,1999,Milwaukee Bucks,NBA,510000
aallenla01,2011,Philadelphia 76ers,NBA,473604
aallenla01,2012,Philadelphia 76ers,NBA,3000000
aallenla01,2013,Philadelphia 76ers,NBA,3060000
aallenla01,2014,Indiana Pacers,NBA,948163
aallenma01,2001,Miami Heat,NBA,332817
aallenma01,2002,Miami Heat,NBA,512435
aallenma01,2003,Miami Heat,NBA,1510000
aallenma01,2004,Miami Heat,NBA,1950625
aallenma01,2005,Chicago Bulls,NBA,1670000
aallenma01,2006,Chicago Bulls,NBA,1803600
aallenma01,2007,Dallas Mavericks,NBA,998398
aallenma01,2008,Milwaukee Bucks,NBA,1300000
aallenma01,2009,Denver Nuggets,NBA,1300000
aallenma01,2010,Orlando Magic,NBA,1229255
aallenra02,1996,Milwaukee Bucks,NBA,1785000
aallenra02,1997,Milwaukee Bucks,NBA,2052360
aallenra02,1998,Milwaukee Bucks,NBA,2320000
aallenra02,1999,Milwaukee Bucks,NBA,9000000
aallenra02,2000,Milwaukee Bucks,NBA,10130000
aallenra02,2001,Milwaukee Bucks,NBA,11250000
aallenra02,2002,Milwaukee Bucks,NBA,12375000
aallenra02,2003,Seattle SuperSonics,NBA,13500000
aallenra02,2004,Seattle SuperSonics,NBA,14625000
aallenra02,2005,Seattle SuperSonics,NBA,13223140
aallenra02,2006,Seattle SuperSonics,NBA,14611570
aallenra02,2007,Boston Celtics,NBA,16000000
aallenra02,2008,Boston Celtics,NBA,18388430
aallenra02,2009,Boston Celtics,NBA,18776860
aallenra02,2010,Boston Celtics,NBA,10000000
aallenra02,2011,Boston Celtics,NBA,10000000
aallenra02,2012,Miami Heat,NBA,3090000
aallenra02,2013,Miami Heat,NBA,3229050
aallento01,2004,Boston Celtics,NBA,901920
aallento01,2005,Boston Celtics,NBA,969696
aallento01,2006,Boston Celtics,NBA,1037280
aallento01,2007,Boston Celtics,NBA,1868141
aallento01,2008,Boston Celtics,NBA,2500000
aallento01,2009,Boston Celtics,NBA,2500000
aallento01,2010,Memphis Grizzlies,NBA,3000000
aallento01,2011,Memphis Grizzlies,NBA,3150000
aallento01,2012,Memphis Grizzlies,NBA,3300000
aallento01,2013,Memphis Grizzlies,NBA,4494382
aallento01,2014,Memphis Grizzlies,NBA,4831461
aalmonmo01,2007,Utah Jazz,NBA,1005960
aalmonmo01,2008,Utah Jazz,NBA,1081440
aalstode01,1994,Philadelphia 76ers,NBA,150000
aalstode01,1995,Philadelphia 76ers,NBA,350000
aalstora01,1999,Milwaukee Bucks,NBA,301875
aalstora01,2000,Milwaukee Bucks,NBA,423500
aalstora01,2001,Milwaukee Bucks,NBA,625000
aalstora01,2002,Toronto Raptors,NBA,37344
aalstora01,2003,Miami Heat,NBA,688679
aalstora01,2004,Toronto Raptors,NBA,3500000
aalstora01,2005,Houston Rockets,NBA,3850000
aalstora01,2006,Houston Rockets,NBA,4200000
aalstora01,2007,Houston Rockets,NBA,4550000
aalstora01,2008,Orlando Magic,NBA,4900000
aalstora01,2009,New Jersey Nets,NBA,4300000
aalstora01,2009,Miami Heat,NBA,753133
aamaecjo01,1995,Cleveland Cavaliers,NBA,200000
aamaecjo01,1999,Orlando Magic,NBA,385000
aamaecjo01,2000,Orlando Magic,NBA,600000
aamaecjo01,2001,Utah Jazz,NBA,2175000
aamaecjo01,2002,Utah Jazz,NBA,2392500
aamaecjo01,2003,New York Knicks,NBA,2610000
aamaecjo01,2004,New York Knicks,NBA,1200000
aamayaas01,1995,Vancouver Grizzlies,NBA,225000
aamayaas01,1996,Washington Bullets,NBA,247500
aaminual01,2010,Los Angeles Clippers,NBA,2563320
aaminual01,2011,New Orleans Hornets,NBA,2755560
aaminual01,2012,New Orleans Hornets,NBA,2947800
aaminual01,2013,New Orleans Pelicans,NBA,3700000
aaminual01,2014,Dallas Mavericks,NBA,1100602
aamundlo01,2006,Philadelphia 76ers,NBA,105696
aamundlo01,2006,Sacramento Kings,NBA,75000
aamundlo01,2006,Utah Jazz,NBA,35232
aamundlo01,2007,Philadelphia 76ers,NBA,687456
aamundlo01,2008,Phoenix Suns,NBA,797581
aamundlo01,2009,Phoenix Suns,NBA,855189
aamundlo01,2010,Golden State Warriors,NBA,2225000
aamundlo01,2011,Indiana Pacers,NBA,2403000
aamundlo01,2012,Minnesota Timberwolves,NBA,1069509
aamundlo01,2014,New York Knicks,NBA,154152
aanderch01,2001,Denver Nuggets,NBA,288171
aanderch01,2002,Denver Nuggets,NBA,512435
aanderch01,2003,Denver Nuggets,NBA,638679
aanderch01,2004,New Orleans Hornets,NBA,1600000
aanderch01,2005,New Orleans/Oklahoma City Hornets,NBA,3500000
aanderch01,2008,Denver Nuggets,NBA,998398
aanderch01,2009,Denver Nuggets,NBA,3650000
aanderch01,2010,Denver Nuggets,NBA,4533300
aanderch01,2011,Denver Nuggets,NBA,4234000
aanderch01,2012,Denver Nuggets,NBA,4526000
aanderch01,2012,Miami Heat,NBA,699952
aanderch01,2013,Miami Heat,NBA,1399507
aanderch01,2014,Miami Heat,NBA,5375000
aanderda03,2009,Houston Rockets,NBA,2300000
aanderda03,2010,New Orleans Hornets,NBA,2500000
aanderal01,2005,Charlotte Bobcats,NBA,398762
aanderal01,2006,Charlotte Bobcats,NBA,102131
aanderal01,2012,Toronto Raptors,NBA,885120
aanderal01,2013,Brooklyn Nets,NBA,947907
aanderal01,2014,Brooklyn Nets,NBA,1276061
aanderde01,1997,Cleveland Cavaliers,NBA,1107240
aanderde01,1998,Cleveland Cavaliers,NBA,1273000
aanderde01,1999,Los Angeles Clippers,NBA,1439400
aanderde01,2000,San Antonio Spurs,NBA,2250000
aanderde01,2001,Portland Trail Blazers,NBA,6495000
aanderde01,2002,Portland Trail Blazers,NBA,7144500
aanderde01,2003,Portland Trail Blazers,NBA,7794000
aanderde01,2004,Portland Trail Blazers,NBA,8443500
aanderde01,2005,Portland Trail Blazers,NBA,9093000
aanderde01,2005,Houston Rockets,NBA,1670000
aanderde01,2006,Portland Trail Blazers,NBA,9742500
aanderde01,2006,Charlotte Bobcats,NBA,901397
aanderde01,2006,Miami Heat,NBA,400000
aanderde01,2007,Charlotte Bobcats,NBA,1219590
aanderer01,1992,New York Knicks,NBA,140000
aanderer01,1993,New York Knicks,NBA,250000
aandergr01,1987,San Antonio Spurs,NBA,185000
aandergr01,1988,San Antonio Spurs,NBA,200000
aandergr01,1990,Denver Nuggets,NBA,1365000
aandergr01,1991,Denver Nuggets,NBA,1465000
aandergr01,1993,Detroit Pistons,NBA,650000
aandergr01,1994,Detroit Pistons,NBA,400000
aandergr01,1994,Atlanta Hawks,NBA,110000
aandergr01,1995,San Antonio Spurs,NBA,485000
aandergr01,1996,San Antonio Spurs,NBA,584000
aandergr01,1997,Atlanta Hawks,NBA,272250
aanderja01,2010,San Antonio Spurs,NBA,1361400
aanderja01,2011,San Antonio Spurs,NBA,1463520
aanderja01,2012,Houston Rockets,NBA,472427
aanderja01,2012,San Antonio Spurs,NBA,145749
aanderja01,2013,Philadelphia 76ers,NBA,916099
aanderja01,2014,Philadelphia 76ers,NBA,981084
aanderke01,1991,New Jersey Nets,NBA,1828000
aanderke01,1992,New Jersey Nets,NBA,2376000
aanderke01,1993,New Jersey Nets,NBA,2925000
aanderke01,1994,New Jersey Nets,NBA,3463200
aanderke01,1995,New Jersey Nets,NBA,3898000
aanderke01,1996,Portland Trail Blazers,NBA,4175000
aanderke01,1997,Portland Trail Blazers,NBA,5010000
aanderke01,1998,Boston Celtics,NBA,5845000
aanderke01,1999,Boston Celtics,NBA,6680000
aanderke01,2000,Boston Celtics,NBA,7520000
aanderke01,2001,Boston Celtics,NBA,8350000
aanderke01,2002,Seattle SuperSonics,NBA,9185000
aanderke01,2003,Indiana Pacers,NBA,1070000
aanderke01,2004,Atlanta Hawks,NBA,1100000
aanderky01,2014,San Antonio Spurs,NBA,1093680
aanderni01,1990,Orlando Magic,NBA,725000
aanderni01,1991,Orlando Magic,NBA,750000
aanderni01,1992,Orlando Magic,NBA,800000
aanderni01,1993,Orlando Magic,NBA,2670000
aanderni01,1994,Orlando Magic,NBA,3090000
aanderni01,1995,Orlando Magic,NBA,3200000
aanderni01,1996,Orlando Magic,NBA,3790000
aanderni01,1997,Orlando Magic,NBA,4000000
aanderni01,1998,Orlando Magic,NBA,3200000
aanderni01,1999,Sacramento Kings,NBA,5051906
aanderni01,2000,Sacramento Kings,NBA,3750000
aanderni01,2001,Memphis Grizzlies,NBA,5401906
aanderni01,2002,Cleveland Cavaliers,NBA,6101906
aanderri01,1987,Portland Trail Blazers,NBA,150000
aanderri01,1988,Portland Trail Blazers,NBA,375000
aanderro01,1985,Cleveland Cavaliers,NBA,115000
aanderro01,1987,Indiana Pacers,NBA,200000
aanderro01,1988,Philadelphia 76ers,NBA,300000
aanderro01,1990,Philadelphia 76ers,NBA,425000
aanderro01,1991,Philadelphia 76ers,NBA,1000000
aanderro01,1992,Philadelphia 76ers,NBA,950000
aanderro01,1993,Philadelphia 76ers,NBA,300000
aanderry01,2008,New Jersey Nets,NBA,1225200
aanderry01,2009,Orlando Magic,NBA,1317120
aanderry01,2010,Orlando Magic,NBA,1409040
aanderry01,2011,Orlando Magic,NBA,2244601
aanderry01,2012,New Orleans Hornets,NBA,8700000
aanderry01,2013,New Orleans Pelicans,NBA,8308500
aanderry01,2014,New Orleans Pelicans,NBA,8491500
aandersh01,1996,Utah Jazz,NBA,220000
aandersh01,1997,Utah Jazz,NBA,1200000
aandersh01,1998,Utah Jazz,NBA,1300000
aandersh01,1999,Houston Rockets,NBA,2000000
aandersh01,2000,Houston Rockets,NBA,2200000
aandersh01,2001,New York Knicks,NBA,5500000
aandersh01,2002,New York Knicks,NBA,6100000
aandersh01,2003,New York Knicks,NBA,6700000
aandersh01,2004,New York Knicks,NBA,7300000
aandersh01,2004,Miami Heat,NBA,873699
aandersh01,2005,New York Knicks,NBA,7900000
aandersh01,2005,Miami Heat,NBA,1035000
aandersh01,2006,New York Knicks,NBA,7244726
aanderwi01,1988,San Antonio Spurs,NBA,500000
aanderwi01,1990,San Antonio Spurs,NBA,725000
aanderwi01,1991,San Antonio Spurs,NBA,775000
aanderwi01,1992,San Antonio Spurs,NBA,2075000
aanderwi01,1993,San Antonio Spurs,NBA,2075000
aanderwi01,1994,San Antonio Spurs,NBA,2075000
aanderwi01,1999,Miami Heat,NBA,510000
aandrima01,2005,Cleveland Cavaliers,NBA,398762
aandrima01,2006,Chicago Bulls,NBA,664209
aanslemi01,1990,Orlando Magic,NBA,200000
aanstech01,1997,Dallas Mavericks,NBA,713900
aanstech01,1998,Dallas Mavericks,NBA,985200
aanstech01,1999,Chicago Bulls,NBA,1113720
aantetgi01,2013,Milwaukee Bucks,NBA,1792560
aantetgi01,2014,Milwaukee Bucks,NBA,1873200
aanthoca01,2003,Denver Nuggets,NBA,3229200
aanthoca01,2004,Denver Nuggets,NBA,3471360
aanthoca01,2005,Denver Nuggets,NBA,3713640
aanthoca01,2006,Denver Nuggets,NBA,4694041
aanthoca01,2007,Denver Nuggets,NBA,13041250
aanthoca01,2008,Denver Nuggets,NBA,14410581
aanthoca01,2009,Denver Nuggets,NBA,15779912
aanthoca01,2010,New York Knicks,NBA,17149243
aanthoca01,2011,New York Knicks,NBA,18518574
aanthoca01,2012,New York Knicks,NBA,19450000
aanthoca01,2013,New York Knicks,NBA,22407474
aanthoca01,2014,New York Knicks,NBA,22458000
aanthogr01,1991,New York Knicks,NBA,865000
aanthogr01,1992,New York Knicks,NBA,1067000
aanthogr01,1993,New York Knicks,NBA,1269000
aanthogr01,1994,New York Knicks,NBA,1471000
aanthogr01,1995,Vancouver Grizzlies,NBA,1673000
aanthogr01,1996,Vancouver Grizzlies,NBA,1875000
aanthogr01,1997,Seattle SuperSonics,NBA,272250
aanthogr01,1998,Portland Trail Blazers,NBA,1000000
aanthogr01,1999,Portland Trail Blazers,NBA,1100000
aanthogr01,2000,Portland Trail Blazers,NBA,3500000
aanthogr01,2001,Chicago Bulls,NBA,3000000
aanthogr01,2002,Chicago Bulls,NBA,1500000
aanthojo01,2007,Miami Heat,NBA,427163
aanthojo01,2008,Miami Heat,NBA,711517
aanthojo01,2009,Miami Heat,NBA,825497
aanthojo01,2010,Miami Heat,NBA,3300000
aanthojo01,2011,Miami Heat,NBA,3600000
aanthojo01,2012,Miami Heat,NBA,3750000
aanthojo01,2013,Miami Heat,NBA,3800000
aanthojo01,2014,Detroit Pistons,NBA,3800000
aanticpe01,2014,Atlanta Hawks,NBA,1250000
aaraujra01,2004,Toronto Raptors,NBA,2082720
aaraujra01,2005,Toronto Raptors,NBA,2238960
aaraujra01,2006,Utah Jazz,NBA,2395200
aarchiro01,2002,Memphis Grizzlies,NBA,349458
aarchiro01,2003,Orlando Magic,NBA,563679
aarenagi01,2001,Golden State Warriors,NBA,332817
aarenagi01,2002,Golden State Warriors,NBA,512435
aarenagi01,2003,Washington Wizards,NBA,8536000
aarenagi01,2004,Washington Wizards,NBA,9389600
aarenagi01,2005,Washington Wizards,NBA,10243200
aarenagi01,2006,Washington Wizards,NBA,11096800
aarenagi01,2007,Washington Wizards,NBA,11950400
aarenagi01,2008,Washington Wizards,NBA,14653466
aarenagi01,2009,Washington Wizards,NBA,16192080
aarenagi01,2010,Orlando Magic,NBA,17730694
aarenagi01,2011,Orlando Magic,NBA,19269307
aarenagi01,2012,Orlando Magic,NBA,20807922
aarizatr01,2004,New York Knicks,NBA,385277
aarizatr01,2005,New York Knicks,NBA,682051
aarizatr01,2006,Orlando Magic,NBA,3100000
aarizatr01,2007,Los Angeles Lakers,NBA,3100000
aarizatr01,2008,Los Angeles Lakers,NBA,3100000
aarizatr01,2009,Houston Rockets,NBA,5854000
aarizatr01,2010,New Orleans Hornets,NBA,6322320
aarizatr01,2011,New Orleans Hornets,NBA,6790640
aarizatr01,2012,Washington Wizards,NBA,7258960
aarizatr01,2013,Washington Wizards,NBA,7727280
aarizatr01,2014,Houston Rockets,NBA,8579089
aarmstbj01,1990,Chicago Bulls,NBA,425000
aarmstbj01,1991,Chicago Bulls,NBA,435000
aarmstbj01,1992,Chicago Bulls,NBA,540000
aarmstbj01,1993,Chicago Bulls,NBA,620000
aarmstbj01,1994,Chicago Bulls,NBA,2800000
aarmstbj01,1995,Golden State Warriors,NBA,2400000
aarmstbj01,1996,Golden State Warriors,NBA,2400000
aarmstbj01,1997,Golden State Warriors,NBA,2600000
aarmstbj01,1998,Los Angeles Lakers,NBA,2800000
aarmstbj01,1998,Orlando Magic,NBA,850000
aarmstbj01,1999,Chicago Bulls,NBA,510000
aarmstbr01,2001,New Jersey Nets,NBA,865800
aarmstbr01,2002,New Jersey Nets,NBA,930720
aarmstbr01,2003,New Jersey Nets,NBA,995650
aarmstda01,1995,Orlando Magic,NBA,350000
aarmstda01,1996,Orlando Magic,NBA,410000
aarmstda01,1997,Orlando Magic,NBA,350000
aarmstda01,1998,Orlando Magic,NBA,2900000
aarmstda01,1999,Orlando Magic,NBA,4125000
aarmstda01,2000,Orlando Magic,NBA,3100000
aarmstda01,2001,Orlando Magic,NBA,4005000
aarmstda01,2002,Orlando Magic,NBA,4010000
aarmstda01,2003,New Orleans Hornets,NBA,2475000
aarmstda01,2004,Dallas Mavericks,NBA,2275000
aarmstda01,2005,Dallas Mavericks,NBA,1138500
aarmstda01,2006,Indiana Pacers,NBA,1178348
aarmstda01,2007,New Jersey Nets,NBA,1219590
aarmsthi01,2006,New Orleans/Oklahoma City Hornets,NBA,1767600
aarmsthi01,2007,New Orleans Hornets,NBA,1900200
aarmsthi01,2008,New Orleans Hornets,NBA,2032800
aarmsthi01,2009,Houston Rockets,NBA,2801198
aarmsthi01,2010,Atlanta Hawks,NBA,992680
aarroyca01,2001,Toronto Raptors,NBA,332817
aarroyca01,2002,Utah Jazz,NBA,546000
aarroyca01,2003,Utah Jazz,NBA,800000
aarroyca01,2004,Utah Jazz,NBA,4000000
aarroyca01,2005,Detroit Pistons,NBA,4000000
aarroyca01,2006,Orlando Magic,NBA,4100000
aarroyca01,2007,Orlando Magic,NBA,4100000
aarroyca01,2009,Miami Heat,NBA,1107572
aarroyca01,2010,Miami Heat,NBA,1223166
aarthuda01,2008,Memphis Grizzlies,NBA,977160
aarthuda01,2009,Memphis Grizzlies,NBA,1050480
aarthuda01,2010,Memphis Grizzlies,NBA,1123680
aarthuda01,2011,Memphis Grizzlies,NBA,2027119
aarthuda01,2012,Memphis Grizzlies,NBA,3006217
aarthuda01,2013,Denver Nuggets,NBA,3231683
aarthuda01,2014,Denver Nuggets,NBA,3457149
aasikom01,2010,Chicago Bulls,NBA,1721000
aasikom01,2011,Chicago Bulls,NBA,1857500
aasikom01,2012,Houston Rockets,NBA,8374646
aasikom01,2013,Houston Rockets,NBA,8374646
aasikom01,2014,New Orleans Pelicans,NBA,8374646
aaskewvi01,1991,Golden State Warriors,NBA,135000
aaskewvi01,1992,Seattle SuperSonics,NBA,180000
aaskewvi01,1994,Seattle SuperSonics,NBA,1460000
aaskewvi01,1995,Seattle SuperSonics,NBA,1810000
aaskewvi01,1996,Indiana Pacers,NBA,2000000
aaskewvi01,1997,Portland Trail Blazers,NBA,272250
aaskinke01,1990,Miami Heat,NBA,150000
aaskinke01,1991,Miami Heat,NBA,202000
aaskinke01,1992,Miami Heat,NBA,250000
aaskinke01,1993,Miami Heat,NBA,313000
aaskinke01,1994,Miami Heat,NBA,406000
aaskinke01,1995,Miami Heat,NBA,550000
aaskinke01,1996,Miami Heat,NBA,650000
aaskinke01,1997,Miami Heat,NBA,750000
aaskinke01,1998,Miami Heat,NBA,725000
aaskinke01,1999,Miami Heat,NBA,1752400
aatkinch01,1999,Orlando Magic,NBA,385000
aatkinch01,2000,Detroit Pistons,NBA,3000000
aatkinch01,2001,Detroit Pistons,NBA,3300000
aatkinch01,2002,Detroit Pistons,NBA,3600000
aatkinch01,2003,Detroit Pistons,NBA,3900000
aatkinch01,2004,Los Angeles Lakers,NBA,4200000
aatkinch01,2005,Washington Wizards,NBA,4500000
aatkinch01,2006,Memphis Grizzlies,NBA,3000000
aatkinch01,2007,Denver Nuggets,NBA,3000000
aatkinch01,2008,Oklahoma City Thunder,NBA,3240000
aatkinch01,2009,Detroit Pistons,NBA,1306455
aatkinch01,2009,Minnesota Timberwolves,NBA,760000
aaugmost01,1991,Atlanta Hawks,NBA,875000
aaugmost01,1992,Atlanta Hawks,NBA,1138000
aaugmost01,1993,Atlanta Hawks,NBA,1400000
aaugmost01,1994,Atlanta Hawks,NBA,1662500
aaugmost01,1995,Atlanta Hawks,NBA,2160000
aaugmost01,1996,Detroit Pistons,NBA,2480000
aaugmost01,1997,Portland Trail Blazers,NBA,2800000
aaugmost01,1998,Portland Trail Blazers,NBA,3200000
aaugmost01,1999,Houston Rockets,NBA,3450000
aaugmost01,1999,Portland Trail Blazers,NBA,510000
aaugmost01,2000,Portland Trail Blazers,NBA,923500
aaugmost01,2001,Charlotte Hornets,NBA,2400000
aaugmost01,2002,New Orleans Hornets,NBA,2400000
aaugmost01,2003,New Orleans Hornets,NBA,2400000
aaugmost01,2004,Orlando Magic,NBA,1100000
aaugmost01,2005,Orlando Magic,NBA,1138500
aaugusdj01,2008,Charlotte Bobcats,NBA,2208960
