team,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Atlanta Hawks",27.3809523809524,26.695652173913,28.0,24.1333333333333,24.6315789473684,25.125,25.1333333333333,26.5714285714286,27.4705882352941,29.3125
"Boston Celtics",28.0588235294118,26.4736842105263,26.2,24.9444444444444,24.75,28.4666666666667,26.8125,28.0,27.9047619047619,28.2352941176471
"Miami Heat",26.4285714285714,26.7058823529412,28.1764705882353,27.5882352941176,28.375,27.2272727272727,26.2777777777778,27.3333333333333,30.2941176470588,28.4375
