season,AVG(AGE)
2002,27.1407867494824
2003,27.242735042735
2004,27.2068376068376
2005,26.6571936056838
2006,26.5445736434109
2007,26.9831932773109
2008,26.7525773195876
2009,26.7629757785467
2010,26.736
2011,26.6333938294011
