"Jordan Craig Hill","Houston Rockets",2855760
"Bismack Biyombo","Charlotte Bobcats",2798040
"Al-Farouq Aminu","New Orleans Hornets",2755560
"Marreese Akeem Speights","Memphis Grizzlies",2721255
"Dahntay Lavall Jones","Indiana Pacers",2700000
"DeMar Darnell DeRozan","Toronto Raptors",2625000
"Roy Denzil Hibbert","Indiana Pacers",2588590
"Brandon Emmanuel Knight","Detroit Pistons",2563320
"Ersan Ilyasova","Milwaukee Bucks",2541000
"Gordon Daniel Hayward","Utah Jazz",2532960
"Aaron Michael Gray","Toronto Raptors",2500000
"Kenyon Lee Martin","Los Angeles Clippers",2500000
"Jason Victor Smith","New Orleans Hornets",2500000
"DeShawn Stevenson","New Jersey Nets",2500000
"Reginald Leon Williams II","Charlotte Bobcats",2500000
"Brandon Jennings","Milwaukee Bucks",2493720
"Ryan Kenwood Hollins","Cleveland Cavaliers",2483333
"JaVale Lindy McGee","Washington Wizards",2462400
"Quentin L. Richardson","Orlando Magic",2446600
"Paul George","Indiana Pacers",2406240
"Louis Gabriel Amundson","Indiana Pacers",2403000
"Earl Smith III","New York Knicks",2382353
"Kemba Hudley Walker","Charlotte Bobcats",2356320
"James Edward Hickson","Sacramento Kings",2354537
"Cole David Aldrich","Oklahoma City Thunder",2286000
"Jerome McKinley Henderson Jr.","Charlotte Bobcats",2250600
"Keyon Latwae Dooling","Boston Celtics",2246400
"Ryan James Anderson","Orlando Magic",2244601
"James Taft Fredette","Sacramento Kings",2238360
"Courtney Lee","Houston Rockets",2225093
"Konstantine Demetrios Koufos","Denver Nuggets",2203792
"Xavier Henry","New Orleans Hornets",2171640
"Nicolas Batum","Portland Trail Blazers",2155365
"Joshua Jay Howard","Utah Jazz",2150000
"Andrew Tyler Hansbrough","Indiana Pacers",2138040
"Klay Alexander Thompson","Golden State Warriors",2126520
"Goran Dragic","Houston Rockets",2108000
"George Jesse Hill Jr.","Indiana Pacers",2086360
"Edward Adam Davis","Toronto Raptors",2063040
"Anthony Lamar Tolliver","Minnesota Timberwolves",2050000
"Darrell Antwonne Arthur","Memphis Grizzlies",2027119
"Alec Burks","Utah Jazz",2020200
"Donte Dominic Greene","Sacramento Kings",2015896
"DeWayne White","Charlotte Bobcats",2001167
"Dante Cunningham","Memphis Grizzlies",2000000
"Earl Joseph Watson","Utah Jazz",2000000
"Patrick Davell Patterson","Houston Rockets",1959960
"Austin Darren Daye","Detroit Pistons",1929600
"Markieff Morris","Phoenix Suns",1919160
"Matt Kelly Barnes","Los Angeles Lakers",1906200
"Larry Sanders","Milwaukee Bucks",1861920
"Omer Faruk Asik","Chicago Bulls",1857500
"James Patrick Johnson","Toronto Raptors",1833120
"Marcus Morris","Houston Rockets",1823280
"Luke Robert Babbitt","Portland Trail Blazers",1768800
"Jrue Randall Holiday","Philadelphia 76ers",1741440
"Kawhi Leonard","San Antonio Spurs",1731960
"Kevin Seraphin","Washington Wizards",1680360
"Renaldo Balkman","New York Knicks",1675000
"Tywon Ronnell Lawson","Denver Nuggets",1654440
"Nikola Vucevic","Philadelphia 76ers",1645400
"Eric Bledsoe","Los Angeles Clippers",1596360
"Jeffrey Demarco Teague","Atlanta Hawks",1579920
"Gustavo Alfonso Ayon","New Orleans Hornets",1567500
"Iman Asante Shumpert","New York Knicks",1563120
"Avery Antonio Bradley Jr.","Boston Celtics",1524480
"Eric Demarqua Maynor","Oklahoma City Thunder",1516680
"Gary Orlando Forbes","Toronto Raptors",1500000
"James Andrew Jones","Miami Heat",1500000
"Gregory Wayne Oden Jr.","Portland Trail Blazers",1500000
"Sebastian Telfair","Phoenix Suns",1500000
"Christopher Carl Singleton Jr.","Washington Wizards",1485000
"James Lee Anderson","San Antonio Spurs",1463520
"Darren Michael Collison","Indiana Pacers",1455960
"Tobias John Harris","Milwaukee Bucks",1418160
"Vladimir Radmanovic","Atlanta Hawks",1352181
"Elliot Jerell Williams","Portland Trail Blazers",1348800
"Omri Casspi","Cleveland Cavaliers",1341960
"Nolan Derek Smith","Portland Trail Blazers",1306920
"Trevor Fitzgerald Booker","Washington Wizards",1294920
"Sergeballu Ibaka","Oklahoma City Thunder",1288200
"Byron James Mullens","Charlotte Bobcats",1288200
"Kenneth Bernard Faried","Denver Nuggets",1254720
