PlayerID,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
aawtrede01,1976,28,PHO,NBA,C,72,,24.4,2.2,5.2,.429,,,,2.2,5.2,.429,1.3,1.8,.722,1.5,3.4,4.9,2.5,0.3,0.4,,2.4,5.7
aawtrede01,1977,29,PHO,NBA,C,81,,20.0,1.4,3.3,.424,,,,1.4,3.3,.424,0.9,1.3,.633,1.2,2.5,3.7,2.0,0.2,0.3,1.6,1.9,3.6
aawtrede01,1978,30,TOT,NBA,C,63,,11.8,0.7,1.7,.411,,,,0.7,1.7,.411,0.7,0.9,.732,0.7,1.7,2.4,1.1,0.3,0.2,0.8,1.7,2.0
aawtrede01,1978,30,BOS,NBA,C,23,,10.7,0.7,1.9,.386,,,,0.7,1.9,.386,0.7,0.9,.800,0.6,1.5,2.0,0.9,0.1,0.3,0.9,1.6,2.2
aawtrede01,1978,30,SEA,NBA,C,40,,12.5,0.7,1.6,.429,,,,0.7,1.6,.429,0.6,0.9,.694,0.7,1.9,2.6,1.2,0.3,0.2,0.8,1.7,2.0
aawtrede01,1979,31,CHI,NBA,C,26,,21.5,1.0,2.3,.450,0.0,0.0,,1.0,2.3,.450,1.2,1.9,.640,1.1,3.3,4.4,1.5,0.5,0.6,1.0,2.5,3.3
aawtrede01,1980,32,SEA,NBA,C,47,,12.9,0.9,2.0,.473,0.0,0.0,,0.9,2.0,.473,0.3,0.4,.700,0.7,1.6,2.3,1.1,0.3,0.2,0.7,1.8,2.2
aawtrede01,1981,33,POR,NBA,C,10,3,12.1,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,0.5,0.9,.556,0.7,0.7,1.4,0.8,0.1,0.2,0.6,2.8,1.5
aayongu01,2011,26,NOH,NBA,PF,54,24,20.1,2.6,4.8,.536,0.0,0.0,.000,2.6,4.8,.538,0.7,1.2,.619,1.6,3.3,4.9,1.4,1.0,0.9,0.9,2.2,5.9
aayongu01,2012,27,TOT,NBA,C,55,3,13.3,1.7,3.0,.551,0.0,0.0,,1.7,3.0,.551,0.4,0.9,.400,1.1,2.5,3.6,1.3,0.4,0.3,0.9,1.9,3.7
aayongu01,2012,27,ORL,NBA,C,43,3,13.3,1.6,2.9,.536,0.0,0.0,,1.6,2.9,.536,0.4,0.9,.500,0.9,2.3,3.3,1.4,0.3,0.3,0.9,1.9,3.6
aayongu01,2012,27,MIL,NBA,C,12,0,13.6,2.1,3.5,.595,0.0,0.0,,2.1,3.5,.595,0.1,1.0,.083,1.7,3.3,4.9,1.0,0.8,0.3,0.8,2.0,4.3
aayongu01,2013,28,ATL,NBA,C,26,14,16.5,2.0,3.9,.510,0.0,0.0,,2.0,3.9,.510,0.3,0.8,.400,1.6,3.2,4.8,1.1,1.0,0.4,1.1,1.8,4.3
ppendeje02,2009,22,POR,NBA,C,39,4,10.4,1.1,1.7,.662,0.0,0.0,,1.1,1.7,.662,0.5,0.5,.900,0.6,1.9,2.5,0.0,0.2,0.4,0.3,1.9,2.7
ppendeje02,2011,24,IND,NBA,C,20,1,5.3,0.8,1.8,.417,0.0,0.0,,0.8,1.8,.417,0.2,0.4,.571,0.6,1.1,1.7,0.2,0.2,0.1,0.1,0.8,1.7
ppendeje02,2012,25,IND,NBA,PF,37,0,10.0,1.6,3.4,.484,0.1,0.1,.500,1.6,3.3,.484,0.6,0.6,.913,0.8,2.0,2.8,0.4,0.2,0.3,0.6,1.2,3.9
ppendeje02,2013,26,SAS,NBA,PF,73,10,13.0,1.4,2.4,.580,0.0,0.0,,1.4,2.4,.580,0.5,0.8,.691,1.2,2.3,3.5,0.8,0.2,0.3,0.9,2.0,3.3
ppendeje02,2014,27,SAS,NBA,PF,30,0,8.5,1.1,1.9,.552,0.0,0.0,,1.1,1.9,.552,0.6,0.8,.826,0.7,1.6,2.3,0.4,0.2,0.2,0.4,1.3,2.8
aazubuke01,2006,23,GSW,NBA,SG,41,9,16.3,2.4,5.4,.445,0.8,1.9,.430,1.6,3.4,.454,1.5,1.9,.782,0.6,1.7,2.3,0.7,0.5,0.2,1.0,1.2,7.1
aazubuke01,2007,24,GSW,NBA,SG,81,17,21.4,3.2,7.2,.445,0.9,2.4,.364,2.3,4.8,.485,1.2,1.7,.717,1.3,2.7,4.0,0.9,0.6,0.4,0.7,2.0,8.5
aazubuke01,2008,25,GSW,NBA,SF,74,51,32.1,5.3,11.4,.464,1.3,2.8,.448,4.0,8.6,.469,2.5,3.1,.808,1.5,3.5,5.0,1.6,0.8,0.7,1.3,2.5,14.4
aazubuke01,2009,26,GSW,NBA,SF,9,7,25.7,5.3,9.8,.545,1.1,3.0,.370,4.2,6.8,.623,2.1,3.1,.679,1.3,3.2,4.6,1.1,0.6,1.0,0.8,1.8,13.9
aazubuke01,2011,28,DAL,NBA,SG,3,0,6.0,1.0,2.7,.375,0.3,1.0,.333,0.7,1.7,.400,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,0.0,1.3,0.3,2.3
bbabbch01,2013,23,BOS,NBA,SG,14,0,9.4,0.6,2.1,.267,0.4,1.9,.222,0.1,0.2,.667,0.0,0.0,,0.3,0.9,1.2,0.2,0.4,0.0,0.2,0.9,1.6
bbabbilu01,2010,21,POR,NBA,SF,24,0,5.7,0.6,2.3,.273,0.1,0.7,.188,0.5,1.6,.308,0.1,0.4,.333,0.3,1.0,1.3,0.3,0.1,0.1,0.3,0.6,1.5
bbabbilu01,2011,22,POR,NBA,SF,40,4,13.4,1.8,4.3,.410,1.1,2.5,.430,0.7,1.8,.384,0.4,0.5,.850,0.4,2.0,2.4,0.4,0.3,0.1,0.7,1.2,5.1
bbabbilu01,2012,23,POR,NBA,PF,62,0,11.8,1.4,3.8,.368,1.0,2.9,.348,0.4,0.9,.429,0.2,0.2,.769,0.2,2.0,2.2,0.5,0.2,0.1,0.4,1.3,3.9
bbabbilu01,2013,24,NOP,NBA,PF,27,2,17.5,2.2,5.7,.390,1.3,3.5,.379,0.9,2.2,.407,0.5,0.7,.778,0.7,2.6,3.3,1.1,0.3,0.4,0.6,1.9,6.3
bbabbilu01,2014,25,NOP,NBA,SF,39,19,12.8,1.1,2.5,.418,0.9,1.9,.487,0.1,0.6,.182,0.2,0.3,.600,0.1,1.4,1.5,0.2,0.3,0.1,0.4,1.2,3.2
bbabicmi01,1990,22,CLE,NBA,PF,12,0,4.3,0.5,1.6,.316,0.0,0.0,,0.5,1.6,.316,0.6,1.0,.583,0.5,0.3,0.8,0.3,0.1,0.1,0.4,0.6,1.6
bbabicmi01,1991,23,MIA,NBA,C,9,0,3.9,0.7,1.4,.462,0.0,0.0,,0.7,1.4,.462,0.7,0.9,.750,0.2,1.0,1.2,0.7,0.1,0.0,0.6,0.0,2.0
bbachjo01,1948,24,BOS,BAA,,34,,,1.0,3.5,.286,,,,1.0,3.5,.286,1.5,2.2,.680,,,,0.7,,,,0.7,3.5
bbaconhe01,1972,24,SDA,ABA,SG,47,,9.0,1.3,3.5,.366,0.0,0.2,.200,1.2,3.3,.377,0.9,1.6,.603,0.9,0.9,1.7,0.8,,,1.4,1.5,3.5
bbaechji01,1952,25,BLB,NBA,SF,64,,29.6,3.8,9.7,.390,,,,3.8,9.7,.390,2.8,3.8,.738,,,3.4,2.4,,,,3.2,10.3
bbaechji01,1953,26,NYK,NBA,SF,70,,23.2,2.4,6.6,.366,,,,2.4,6.6,.366,1.9,2.5,.757,,,2.6,1.7,,,,2.8,6.8
